ID,FrameRdy,Stamp,Roll,Pitch,Yaw,LinAccX,LinAccY,LinAccZ,AngVelX,AngVelY,AngVelZ,PoseX,PoseY,PoseZ,
3270,0,34.49,0.00943315,-0.00273487,-0.0032968,0.00298077,0.0301381,-10.2574,-0.587111,0.00140191,-0.00285887,5.04157,5.07489,9.88356,
3271,0,34.5,0.00356565,-0.0026956,-0.00336126,0.000422444,-0.0393001,-9.18021,-0.462731,0.00607846,-0.00830402,5.04285,5.07479,9.88357,
3272,0,34.51,0.00238227,-0.0026649,-0.00342649,0.000690663,-0.0637496,-9.96218,0.180588,0.00291459,-0.00723564,5.04285,5.07479,9.88357,
3273,0,34.521,0.00744579,-0.00263263,-0.0034177,0.000168454,-0.0104289,-9.7307,0.681937,0.00688577,0.00433802,5.04145,5.07469,9.8836,
3274,0,34.532,0.0134865,-0.00263588,-0.00341649,-0.0026337,0.0512554,-8.95273,0.427686,-0.00431559,-0.00136969,5.04145,5.07469,9.8836,
3275,0,34.542,0.0145019,-0.00264075,-0.00342495,-0.00112707,0.0630321,-9.83466,-0.153429,-0.00156762,-0.000568984,5.037,5.07457,9.8837,
3276,0,34.553,0.0104939,-0.00265507,-0.0034022,0.00534791,0.038311,-10.0336,-0.61763,0.000942896,0.0113565,5.03642,5.07448,9.88367,
3277,0,34.562,0.00480911,-0.00266092,-0.00333114,-0.001585,-0.0517551,-9.00686,-0.421247,0.000892816,0.0100598,5.03642,5.07448,9.88367,
3278,0,34.574,0.00399846,-0.00266572,-0.00325175,0.00166887,-0.0644237,-9.92134,0.21014,0.000998563,0.00951986,5.03761,5.07438,9.88366,
3279,1,34.588,0.00777714,-0.00265804,-0.00320445,0.00622837,-0.0362486,-10.3145,0.628535,0.00646649,0.00151971,5.03432,5.0743,9.88364,
3280,0,34.598,0.0154563,-0.00260782,-0.003155,-0.000819037,0.0558009,-9.31305,0.196273,0.00596927,0.00660967,5.03432,5.0743,9.88364,
3281,0,34.608,0.0138531,-0.00255672,-0.00313904,-0.00203084,0.0569613,-10.6839,-0.446165,0.00624114,-0.000215299,5.03112,5.07423,9.88361,
3282,0,34.618,0.00791334,-0.00251002,-0.00329329,0.00357946,-0.00928606,-9.57712,-0.584626,0.0033411,-0.0156079,5.03112,5.07423,9.88361,
3283,0,34.629,0.00439234,-0.00247276,-0.00344403,0.000967629,-0.0594967,-9.45655,-0.0933842,0.00311418,-0.0146688,5.03257,5.07419,9.88356,
3284,0,34.64,0.00695372,-0.0024562,-0.0035078,0.00369062,-0.056578,-10.7156,0.519529,-8.59746e-05,-0.00333191,5.03139,5.07413,9.8835,
3285,0,34.649,0.0130524,-0.00244087,-0.00347727,-0.00218376,0.0260105,-9.50847,0.557245,0.0035255,0.00494816,5.03139,5.07413,9.8835,
3286,0,34.66,0.0158315,-0.00245916,-0.00348717,0.000613307,0.0640662,-9.6407,0.0029445,-0.00191877,-0.00110906,5.02722,5.07406,9.88354,
3287,0,34.67,0.012457,-0.0024831,-0.00344061,0.00420188,0.0492629,-10.5315,-0.565645,-0.00132359,0.00996739,5.02722,5.07406,9.88354,
3288,0,34.68,0.00656075,-0.00248466,-0.00333571,-0.00142439,-0.0359425,-9.38642,-0.488644,0.00182056,0.0099278,5.02753,5.074,9.88351,
3289,1,34.69,0.00476375,-0.00248504,-0.00326826,-0.000166162,-0.0616128,-9.76981,0.0521759,0.0008375,0.00173611,5.02825,5.07396,9.88352,
3290,0,34.701,0.00867662,-0.00247044,-0.00326575,0.00229379,-0.0266703,-10.0414,0.607427,0.00682189,-0.00341326,5.02825,5.07396,9.88352,
3291,0,34.711,0.0146486,-0.00245124,-0.00328912,-0.00438079,0.0430181,-9.08382,0.469557,-0.00158889,0.00283868,5.02438,5.07392,9.88358,
3292,0,34.721,0.016142,-0.00241846,-0.003322,-0.000775479,0.0620136,-9.90877,-0.138911,0.00314085,-0.00372378,5.02438,5.07392,9.88358,
3293,0,34.732,0.0115887,-0.00237944,-0.00333059,-0.00136998,0.0228823,-9.81083,-0.638418,0.00533577,-0.00299359,5.02263,5.0739,9.8836,
3294,0,34.741,0.00602188,-0.00236458,-0.00334697,-0.0018267,-0.056009,-9.06932,-0.383778,-0.000453823,0.00353696,5.02263,5.0739,9.8836,
3295,0,34.752,0.00550833,-0.00235283,-0.00330969,0.000218717,-0.06418,-10.1225,0.240965,0.00256654,0.00362966,5.02447,5.07389,9.88361,
3296,0,34.762,0.0106344,-0.00234497,-0.00330837,-0.00417295,-0.00584016,-9.70183,0.627591,-0.00418387,0.00266508,5.02218,5.07388,9.88361,
3297,0,34.772,0.0156156,-0.00232667,-0.00330056,0.00332141,0.0519565,-9.21195,0.293628,0.0044568,0.00255459,5.02218,5.07388,9.88361,
3298,0,34.783,0.0154091,-0.00230736,-0.00330946,0.00210244,0.0692763,-10.2294,-0.287397,0.00309459,-0.00347314,5.01893,5.07387,9.88367,
3299,1,34.793,0.00998945,-0.00227985,-0.00336479,-0.00326763,-0.00625527,-9.89236,-0.637458,-0.000920038,-0.00228342,5.01893,5.07387,9.88367,
3300,0,34.804,0.00517766,-0.00225065,-0.00341489,0.000959281,-0.0462244,-9.27169,-0.267175,0.00212241,-0.00914247,5.02019,5.07388,9.88367,
3301,0,34.815,0.00602769,-0.00221954,-0.00348435,-0.00361703,-0.06024,-10.4487,0.37358,0.000105395,-0.00288594,5.02048,5.0739,9.88368,
3302,0,34.825,0.0119001,-0.00220781,-0.00346755,0.00796271,0.00254588,-9.66,0.639554,0.00267194,0.00481677,5.02048,5.0739,9.88368,
3303,0,34.835,0.0161388,-0.00220696,-0.00344337,-0.00302743,0.0575467,-9.29204,0.182208,-0.00120588,-0.00128602,5.01671,5.0739,9.88376,
3304,0,34.845,0.0143827,-0.00222578,-0.00343896,-0.00325963,0.0520734,-10.7097,-0.450456,-0.00377,0.011878,5.01671,5.0739,9.88376,
3305,0,34.856,0.00784944,-0.00223658,-0.00333042,0.000999681,-0.017449,-9.22465,-0.565611,0.002705,0.00981647,5.01584,5.0739,9.88376,
3306,0,34.867,0.0050202,-0.00223593,-0.00325429,-0.000399176,-0.0614491,-9.64825,-0.0100405,0.000978934,0.00145012,5.0177,5.07393,9.88378,
3307,0,34.877,0.00836593,-0.00222423,-0.0032519,0.00347389,-0.0350083,-10.16,0.570599,0.00647316,-0.00382464,5.0177,5.07393,9.88378,
3308,0,34.888,0.0143419,-0.00220417,-0.00329126,-0.00559307,0.0380064,-9.14473,0.497628,-0.00148991,-0.00404514,5.01525,5.07395,9.88381,
3309,1,34.899,0.0160806,-0.00218711,-0.00331145,-0.00202175,0.0545748,-9.24336,0.234102,0.00488468,-0.00412653,5.01246,5.07398,9.88387,
3310,0,34.909,0.011427,-0.0021293,-0.00331778,-0.00441229,0.0193388,-10.1002,-0.645842,0.00277534,-0.00438587,5.01246,5.07398,9.88387,
3311,0,34.921,0.00552764,-0.00211374,-0.00336398,0.000475606,-0.0424389,-9.27271,-0.329208,-0.000113903,-0.00415567,5.01422,5.07405,9.88388,
3312,0,34.931,0.00607421,-0.00210258,-0.00333848,-0.00268697,-0.0596871,-10.4465,0.367975,-0.00208444,0.00287159,5.01412,5.0741,9.88388,
3313,0,34.942,0.0118444,-0.0020913,-0.00335291,0.0078133,0.00729479,-9.5637,0.627381,0.00589261,-0.00426506,5.01412,5.0741,9.88388,
3314,0,34.952,0.0159807,-0.00206295,-0.00339542,-0.00278015,0.0584381,-9.31227,0.172676,0.00230929,-0.00432384,5.01038,5.07414,9.88396,
3315,0,34.962,0.0141388,-0.00202857,-0.00343381,-0.00206452,0.0500291,-10.5872,-0.455297,0.00224002,-0.00320839,5.01038,5.07414,9.88396,
3316,0,34.972,0.00811511,-0.00198208,-0.00350092,0.00175088,-0.00522461,-9.42807,-0.599924,0.00727794,-0.00894594,5.01073,5.07422,9.88395,
3317,0,34.982,0.00471667,-0.00194091,-0.00358391,-0.000180207,-0.0628427,-9.51862,-0.0751297,0.00458533,-0.00788076,5.01073,5.07422,9.88395,
3318,0,34.993,0.0074867,-0.00189983,-0.00357158,0.00521818,-0.0457285,-10.2919,0.539918,0.00860109,0.0114339,5.01235,5.07431,9.88396,
3319,1,35.003,0.0135621,-0.00186051,-0.00349705,-0.00771254,0.0307744,-9.24356,0.542754,0.000201231,0.0178675,5.00961,5.07438,9.884,
3320,0,35.014,0.0160224,-0.00184489,-0.00338939,-0.000539269,0.0622668,-9.77437,-0.0889198,0.000994685,0.00110062,5.00961,5.07438,9.884,
3321,0,35.025,0.0118498,-0.00183594,-0.00332226,-0.00251033,0.0349435,-10.2901,-0.63353,0.000944941,0.0094346,5.00752,5.07446,9.88403,
3322,0,35.035,0.00603321,-0.00185309,-0.00323314,-0.00111539,-0.0465983,-9.2729,-0.435191,-0.00384255,0.00836049,5.00972,5.07454,9.88405,
3323,0,35.046,0.00490454,-0.00187586,-0.00315641,-0.000127334,-0.0644721,-9.98587,0.179301,-0.00204493,0.00717641,5.00972,5.07454,9.88405,
3324,0,35.055,0.00963939,-0.00190607,-0.00322105,-0.00178884,-0.0218543,-10.134,0.627584,-0.00691091,-0.0113021,5.00919,5.0746,9.88405,
3325,0,35.066,0.0145277,-0.00190239,-0.00332284,0.00613763,0.0468928,-9.14268,0.39375,0.00281654,-0.0114054,5.00919,5.0746,9.88405,
3326,0,35.077,0.0148069,-0.00187149,-0.00338987,0.00105026,0.0650653,-10.2395,-0.303338,0.00422757,-0.00419053,5.00593,5.07467,9.88414,
3327,0,35.087,0.00926503,-0.00184297,-0.00348076,0.00273058,0.00232561,-9.85479,-0.643342,0.00139328,-0.0095993,5.00686,5.07478,9.88415,
3328,1,35.101,0.00497611,-0.00181704,-0.00355317,0.000687267,-0.0383749,-9.3231,-0.385023,0.00163858,-0.00862682,5.00686,5.07478,9.88415,
3329,0,35.113,0.00726398,-0.0017645,-0.00354608,-0.00320657,-0.0354575,-10.2139,0.58033,0.00567567,0.00980264,5.0085,5.0749,9.88418,
3330,0,35.122,0.0133181,-0.00176111,-0.00345725,-0.000391367,0.0357111,-9.11185,0.507978,-0.00396386,0.00143362,5.0055,5.075,9.88425,
3331,0,35.133,0.0153152,-0.0017491,-0.00343063,-0.000529314,0.0634656,-9.70269,-0.0885094,0.000557662,0.00260068,5.0055,5.075,9.88425,
3332,0,35.143,0.0111733,-0.00173699,-0.00340486,-0.00370775,0.0235796,-10.1244,-0.623489,0.000749651,0.00250151,5.00418,5.07511,9.88426,
3333,0,35.153,0.00541953,-0.00173286,-0.00337864,0.00013801,-0.0467981,-9.10875,-0.428264,-0.000802352,0.00270064,5.00418,5.07511,9.88426,
3334,0,35.163,0.00433441,-0.00172422,-0.00337316,-0.000576788,-0.0653618,-9.96669,0.184084,0.000964259,0.00269015,5.00673,5.07523,9.88429,
3335,0,35.173,0.00912812,-0.00172367,-0.00339633,0.00169267,-0.0198789,-9.96041,0.634964,-0.00330666,-0.00436715,5.0054,5.07535,9.8843,
3336,0,35.184,0.0144468,-0.00169773,-0.00339681,0.00100545,0.0493036,-9.11483,0.351064,0.00568906,0.00229023,5.0054,5.07535,9.8843,
3337,0,35.195,0.0144903,-0.00167165,-0.0034136,0.000284567,0.062695,-10.2007,-0.289283,0.00377266,0.00229443,5.00263,5.07547,9.88437,
3338,1,35.206,0.0121656,-0.00165643,-0.00341622,0.00214525,0.0546541,-10.299,-0.57694,0.00523431,-0.00550151,5.00415,5.07559,9.88437,
3339,0,35.216,0.00426558,-0.00162855,-0.00344394,0.00113379,-0.0384448,-9.29174,-0.348917,0.00184523,-0.00451287,5.00415,5.07559,9.88437,
3340,0,35.226,0.00432035,-0.00161847,-0.00346662,-0.00178966,-0.0602976,-10.2887,0.293402,-0.00169078,-0.00596544,5.00579,5.07573,9.88439,
