Total Offset X,Total Offset Y,Actual X,Actual Y,L2 error,Roll,Pitch,Yaw,Actual Roll,Actual Pitch,Actual Yaw,
1.97796,5.29017,-0.334253,4.73905,2.37699,-0.0275248,0.0194324,0,-0.126005,0.123715,-0.0168519,
1.78231,5.32064,-0.432255,4.64141,2.31639,-0.00878389,0.00843008,0,-0.121833,0.123434,-0.0169883,
1.59911,5.33122,-0.536492,4.53442,2.2794,0.0086446,-0.000687999,0,-0.120787,0.123186,-0.0171446,
1.48513,5.27949,-0.654839,4.41287,2.30878,0.0019905,-0.00116605,0,-0.127284,0.122919,-0.0172145,
1.3862,5.20099,-0.785645,4.28162,2.35842,-0.00533716,-0.00158458,0,-0.130975,0.122636,-0.0173172,
1.2377,5.09128,-0.933799,4.13386,2.37319,-0.00125233,-0.00169325,0,-0.125303,0.122215,-0.017528,
1.05429,4.94883,-1.09072,3.97517,2.35565,0.0097439,-0.00168983,0,-0.123635,0.122094,-0.0176044,
0.978697,4.8172,-1.25459,3.8076,2.45089,0.000727894,-0.000786295,0,-0.130492,0.121798,-0.017667,
0.847597,4.68573,-1.43702,3.6239,2.51932,-0.00368617,-0.00228876,0,-0.128838,0.119488,-0.0170225,
0.514252,4.5128,-1.63548,3.42671,2.40851,0.0122493,-0.0146742,0,-0.102697,0.0994152,-0.0146723,
-0.0139225,4.30458,-1.85034,3.21088,2.13743,0.0435763,-0.0393098,0,-0.0665315,0.0668241,-0.0121726,
-0.627517,4.05665,-2.0727,2.98577,1.7987,0.0692475,-0.0641403,0,-0.0325362,0.02959,-0.0101568,
-1.31918,3.71303,-2.29438,2.76156,1.36246,0.0730537,-0.0818224,0,-0.0159642,0.00282334,-0.009684,
-1.85463,3.45403,-2.48579,2.57412,1.08287,0.0850444,-0.0947821,0,0.0122751,-0.0223957,-0.0098473,
-2.39953,3.14186,-2.73871,2.32271,0.886591,0.103244,-0.103021,0,0.0396129,-0.0413358,-0.0104862,
-2.8522,2.81296,-2.91719,2.143,0.673104,0.112941,-0.107526,0,0.0511781,-0.056017,-0.0110927,
-3.22517,2.46252,-3.12824,1.93545,0.535912,0.102274,-0.109365,0,0.057659,-0.0684453,-0.0118435,
-3.51766,2.1845,-3.33055,1.73945,0.482788,0.0996571,-0.108954,0,0.0748123,-0.0789604,-0.0125949,
-3.81718,1.90475,-3.52549,1.54807,0.460761,0.112216,-0.106492,0,0.0903043,-0.0873838,-0.0133417,
-4.03168,1.6313,-3.70762,1.36778,0.417684,0.112821,-0.103111,0,0.0910425,-0.0945445,-0.0142267,
-4.16028,1.38173,-3.88243,1.19893,0.332589,0.0952587,-0.0985674,0,0.0930486,-0.100593,-0.0148768,
